"From","To","Frequency"
"CANADA","BRAZIL","1"
"CHINA","AUSTRALIA","1"
"CHINA","DENMARK","1"
"CHINA","JAPAN","2"
"CHINA","U ARAB EMIRATES","1"
"CHINA","UNITED KINGDOM","1"
"FINLAND","LITHUANIA","1"
"FRANCE","FINLAND","1"
"FRANCE","LEBANON","1"
"FRANCE","LITHUANIA","1"
"GERMANY","AUSTRIA","1"
"GERMANY","ITALY","1"
"GERMANY","UNITED KINGDOM","1"
"INDIA","VIETNAM","1"
"JAPAN","AUSTRALIA","3"
"JAPAN","IRAQ","1"
"JAPAN","SPAIN","1"
"KOREA","AUSTRALIA","3"
"KOREA","CHINA","9"
"KOREA","COLOMBIA","1"
"KOREA","DENMARK","1"
"KOREA","GERMANY","2"
"KOREA","INDIA","4"
"KOREA","ISRAEL","1"
"KOREA","JAPAN","10"
"KOREA","MONGOLIA","1"
"KOREA","NETHERLANDS","1"
"KOREA","SINGAPORE","1"
"KOREA","SPAIN","1"
"KOREA","UNITED KINGDOM","6"
"KOREA","USA","49"
"KOREA","VIETNAM","1"
"NETHERLANDS","COLOMBIA","1"
"SAUDI ARABIA","QATAR","1"
"TURKEY","CYPRUS","1"
"TURKEY","USA","1"
"UNITED KINGDOM","DENMARK","1"
"UNITED KINGDOM","IRELAND","1"
"USA","AUSTRALIA","2"
"USA","BRAZIL","1"
"USA","CANADA","1"
"USA","CHINA","3"
"USA","COLOMBIA","1"
"USA","GERMANY","1"
"USA","GREECE","1"
"USA","ITALY","1"
"USA","JAPAN","6"
"USA","NETHERLANDS","1"
"USA","PAKISTAN","1"
"USA","PHILIPPINES","1"
