"From","To","Frequency"
"ARGENTINA","CHILE","2"
"ARGENTINA","INDONESIA","2"
"AUSTRALIA","BELGIUM","2"
"AUSTRALIA","BRAZIL","1"
"AUSTRALIA","IRAQ","4"
"AUSTRALIA","NEW ZEALAND","1"
"AUSTRALIA","SINGAPORE","1"
"AUSTRALIA","SWEDEN","1"
"BELGIUM","CZECH REPUBLIC","4"
"BELGIUM","IRELAND","3"
"BELGIUM","NEW ZEALAND","1"
"BELGIUM","RUSSIA","1"
"BRAZIL","COLOMBIA","1"
"BRAZIL","CZECH REPUBLIC","1"
"BRAZIL","FINLAND","1"
"BRAZIL","GUATEMALA","1"
"BRAZIL","ISRAEL","1"
"CANADA","ARGENTINA","1"
"CANADA","AUSTRALIA","4"
"CANADA","BELGIUM","6"
"CANADA","BRAZIL","2"
"CANADA","CHILE","1"
"CANADA","CZECH REPUBLIC","10"
"CANADA","DENMARK","4"
"CANADA","EGYPT","2"
"CANADA","FINLAND","2"
"CANADA","FRANCE","12"
"CANADA","GERMANY","8"
"CANADA","GREECE","4"
"CANADA","HUNGARY","7"
"CANADA","INDIA","14"
"CANADA","INDONESIA","1"
"CANADA","IRELAND","1"
"CANADA","ISRAEL","6"
"CANADA","MACEDONIA","6"
"CANADA","MALAYSIA","1"
"CANADA","NETHERLANDS","8"
"CANADA","NEW ZEALAND","3"
"CANADA","PAKISTAN","2"
"CANADA","POLAND","3"
"CANADA","PORTUGAL","1"
"CANADA","RUSSIA","2"
"CANADA","SAUDI ARABIA","1"
"CANADA","SINGAPORE","1"
"CANADA","SPAIN","10"
"CANADA","SWEDEN","3"
"CANADA","SWITZERLAND","7"
"CANADA","THAILAND","1"
"CHINA","CANADA","3"
"CHINA","DENMARK","1"
